Niveau,Wort,Klarwort,Übersetzung,Detail,Example1,Example2,Example3,Example4,Example5,
A2,Rund,rund,"rund (Adjektiv): round, rounded, about‌ (in set use rund um – adjectival-predicative sense)  rund (Adverb): round‌ (ly), around‌ (in rund um), about, approximately  das rund (Noun): round‌ (shape), lap, round‌ (in games/boxing), the round‌ (quality/shape) — substantivized adjective","rund (Adjektiv): round, rounded, about (in set use rund um – adjectival-predicative sense)  rund (Adverb): round (ly), around (in rund um), about, approximately  das Rund (Noun): round (shape), lap, round (in games/boxing), the round (quality/shape) — substantivized adjective",Der Tisch ist rund.The table is round.,Dieser Ball ist runder als jener.This ball is rounder than that one.,"Das ist am rundesten, wenn alle Ecken weg sind.It is the roundest when all corners are gone.",Es kostet rund 20 Euro.It costs about 20 euros.,Das Runde passt in das Eckige nicht.The round thing does not fit into the square one.,German Word (A2)
A2,Ruhig,ruhig,"ruhig (Adjektiv): calm, quiet, peaceful, unhurried  ruhig (Adverb): calmly, quietly, by all means‌ (colloquial: you can safely)  das ruhig (Noun): the quiet/calm one‌ (person)","ruhig (Adjektiv): calm, quiet, peaceful, unhurried  ruhig (Adverb): calmly, quietly, by all means (colloquial: you can safely)  das Ruhig (Noun): the quiet/calm one (person)",Das Baby schläft ruhig.The baby sleeps calmly.,Es ist hier ruhig.It is quiet here.,Bleib bitte ruhiger als gestern.Please stay calmer than yesterday.,Heute arbeite ich am ruhigsten.Today I work the most calmly.,Du kannst das ruhig machen.You can go ahead and do that.,German Word (A2)
A1,Rechts,rechts,"rechts (Adverb): on the right, to the right, right-hand side, in law‌ (legal context)  rechts (Adjektiv): right‌ (right-hand)  das rechts (Noun): the right‌ (side), right flank‌ (sports/dance)","rechts (Adverb): on the right, to the right, right-hand side, in law (legal context)  rechts (Adjektiv): right (right-hand)  das Rechts (Noun): the right (side), right flank (sports/dance)",Die Apotheke ist rechts.The pharmacy is on the right.,Bitte halten Sie sich rechts.Please keep to the right.,Er steht heute rechter als früher.He is standing more to the right today than before.,Das Auto parkt am rechtesten.The car is parked the farthest to the right.,Das Rechte ist frei.The right side is free.,German Word (A1)
B1,Perfekt,perfekt,"perfekt (Adjektiv): perfect, ideal, flawless, excellent  perfekt (Adverb): perfectly, ideally, flawlessly  das perfekt (Noun): the perfect, perfection‌ (as a quality)","perfekt (Adjektiv): perfect, ideal, flawless, excellent  perfekt (Adverb): perfectly, ideally, flawlessly  das Perfekt (Noun): the perfect, perfection (as a quality)",Das Kleid ist perfekt.The dress is perfect.,Dieses Ergebnis ist perfekter als das letzte.This result is more perfect than the last.,Er hat das Projekt am perfektesten geplant.He planned the project in the most perfect way.,Alles passt hier perfekt.Everything fits perfectly here.,Das Perfekte ist selten.The perfect is rare.,German Word (B1)
A2,Nebenan,nebenan,"next door, nearby‌ (next door), in the place next door","next door, nearby (next door), in the place next door",Sie wohnt nebenan.She lives next door.,Der Bäcker ist gleich nebenan.The bakery is right next door.,Das Café nebenan ist näher nebenan als das Restaurant am Platz.The café next door is closer than the restaurant on the square.,"Heute ist es am nächsten nebenan, weil wir im Haus bleiben.Today it is the nearest next door, because we are staying in the building.",Klingel bitte nebenan.Please ring next door.,German Adverb (A2)
B2,Minimal,minimal,"minimal (Adjektiv): minimal, least possible, minimum  das minimal (Noun): the minimal‌ (as an abstract quality)","minimal (Adjektiv): minimal, least possible, minimum  das Minimal (Noun): the minimal (as an abstract quality)",Die Kosten sind minimal.The costs are minimal.,Wir halten das Risiko minimaler als letztes Jahr.We consider the risk more minimal than last year.,"Das ist am minimalsten, was wir erreichen können.This is the most minimal we can achieve.",Das Minimal ist hier entscheidend.The minimal is decisive here.,,German Word (B2)
B1,Maximal,maximal,"maximal (Adjektiv): maximum, maximal  maximal (Adverb): at most, maximum, no more than  das maximal (Noun): the maximal, the maximum‌ (as an abstract quality)","maximal (Adjektiv): maximum, maximal  maximal (Adverb): at most, maximum, no more than  das Maximal (Noun): the maximal, the maximum (as an abstract quality)",Die maximale Geschwindigkeit ist 50 km/h.The maximum speed is 50 km/h.,Du darfst maximal zwei Taschen mitnehmen.You may take at most two bags.,Wir arbeiten heute maximal drei Stunden.Today we work for a maximum of three hours.,Das Maximale ist hier genug.The maximal is enough here.,,German Word (B1)
A1,Links,links,"links (Adverb): on the left, to the left, leftwards  links (Adjektiv): left‌ (located on the left), left-wing‌ (political)  das links (Noun): the left‌ (political wing), leftists","links (Adverb): on the left, to the left, leftwards  links (Adjektiv): left (located on the left), left-wing (political)  das Links (Noun): the left (political wing), leftists",Der Ausgang ist links.The exit is on the left.,Bitte biegen Sie links ab.Please turn left.,Das Bild hängt weiter links.The picture hangs further to the left.,Die Partei ist links.The party is left-wing.,Viele wählen heute die Linken.Many people vote for the left today.,German Word (A1)
B1,Komplett,komplett,"komplett (Adjektiv): complete, entire, fully equipped  komplett (Adverb): completely, entirely, totally  das komplett (Noun): completeness, being complete","komplett (Adjektiv): complete, entire, fully equipped  komplett (Adverb): completely, entirely, totally  das Komplett (Noun): completeness, being complete",Das Set ist komplett.The set is complete.,Die Liste ist jetzt kompletter als gestern.The list is now more complete than yesterday.,Das ist am komplettesten in dieser Sammlung.This is the most complete in this collection.,Das Paket wurde komplett geliefert.The package was delivered completely.,Das Komplett ist selten wichtig.The 'complete-ness' as a concept is rarely important.,German Word (B1)
A2,Jederzeit,jederzeit,"at any time, anytime, whenever‌ (any time)","at any time, anytime, whenever (any time)",Du kannst mich jederzeit anrufen.You can call me at any time.,Der Service ist jederzeit verfügbar.The service is available at any time.,Wir sind jederzeit für dich da.We are here for you at any time.,,,German Adverb (A2)
B2,Ideal,ideal,"ideal (Adjektiv): ideal, optimal, perfect  ideal (Adverb): ideally, perfectly  das ideal (Noun): ideal, paragon, perfect model, the ideal‌ (quality/state of being ideal)","ideal (Adjektiv): ideal, optimal, perfect  ideal (Adverb): ideally, perfectly  das Ideal (Noun): ideal, paragon, perfect model, the ideal (quality/state of being ideal)",Das ist die ideale Lösung für uns.This is the ideal solution for us.,Dieses Tool passt ideal zu unserem Projekt.This tool fits our project ideally.,Das Wetter ist heute idealer als gestern.The weather is more ideal today than yesterday.,"In dieser Lage wäre es am idealsten, früh zu starten.In this situation, it would be idealest to start early.",Das Ideale ist hier schwer zu erreichen.The ideal is hard to achieve here.,German Word (B2)
A2,Gleich,gleich,"gleich (Adjektiv): same, equal, identical  gleich (Adverb): right away, in a moment, immediately, equally  das gleich (Noun): the same thing","gleich (Adjektiv): same, equal, identical  gleich (Adverb): right away, in a moment, immediately, equally  das Gleich (Noun): the same thing",Die Jacken sind gleich.The jackets are the same.,Dieses Modell ist gleicher als das andere im Preis.This model is more equal in price than the other.,"In dieser Gruppe sind alle am gleichsten behandelt.In this group, everyone is treated the most equally.",Ich komme gleich.I’ll be right there.,Wir nehmen das gleich.We’ll take the same thing.,German Word (A2)
A2,Gerade,gerade,"gerade (Adverb): just‌ (recently), right now, exactly, straight, directly  gerade (Adjektiv): straight, even‌ (math.), upright, correct‌ (exact)  die gerade (Noun): straight line, the straight; straightness‌ (as a property)","gerade (Adverb): just (recently), right now, exactly, straight, directly  gerade (Adjektiv): straight, even (math.), upright, correct (exact)  die Gerade (Noun): straight line, the straight; straightness (as a property)",Ich komme gerade nach Hause.I’m just arriving home.,Das Bild hängt nicht gerade.The picture is not hanging straight.,Diese Linie ist gerader als jene.This line is straighter than that one.,Er steht am geradesten von allen.He stands the straightest of all.,Die Gerade schneidet den Kreis.The straight line intersects the circle.,German Word (A2)
A2,Früher,früher,"früher (Adverb): earlier, formerly, in the past, before  früher (Adjektiv): earlier, former  das früher (Noun): the old days, the past, former times","früher (Adverb): earlier, formerly, in the past, before  früher (Adjektiv): earlier, former  das Früher (Noun): the old days, the past, former times",Früher hatte ich mehr Zeit.I had more time in the past.,Komm bitte früher nach Hause.Please come home earlier.,Wir treffen uns am frühesten um sieben.We can meet at the earliest at seven.,Der frühere Termin passt mir besser.The earlier appointment suits me better.,Er denkt oft an das Früher.He often thinks about the old days.,German Word (A2)
B1,Folgend,folgend,"folgend (Adjektiv): following, next, subsequent  folgend (Adverb): following, below, as follows  das folgend (Noun): the following","folgend (Adjektiv): following, next, subsequent  folgend (Adverb): following, below, as follows  das Folgend (Noun): the following",Bitte lesen Sie die folgenden Hinweise.Please read the following instructions.,Im nächsten Teil kommen die weniger folgenden Punkte zuerst.In the next section the less following points come first.,Am folgendsten ist dieses Kapitel dem Originaltext.This chapter follows the original most closely.,Die Lösung ist folgend beschrieben.The solution is described as follows.,Das Folgende erklärt die Regeln.The following explains the rules.,German Word (B1)
B1,Fließend,fließend,"fließend (Adjektiv): fluent, flowing, fluid  fließend (Adverb): fluently, flowingly, smoothly  das fließend (Noun): fluency; smoothness‌ (as a quality), flowing nature","fließend (Adjektiv): fluent, flowing, fluid  fließend (Adverb): fluently, flowingly, smoothly  das Fließend (Noun): fluency; smoothness (as a quality), flowing nature",Sie spricht fließend Deutsch.She speaks German fluently.,Der Verkehr läuft heute fließender als gestern.Traffic is flowing more smoothly today than yesterday.,Hier ist das Wasser am fließendsten im Frühling.Here the water flows the most strongly in spring.,Das Fließende ihrer Rede hat alle beeindruckt.The fluency of her speech impressed everyone.,,German Word (B1)
A1,Fertig,fertig,"fertig (Adjektiv): ready, finished, done, exhausted  das fertig (Noun): the finished/ready state‌ (substantivized adjective)","fertig (Adjektiv): ready, finished, done, exhausted  das Fertig (Noun): the finished/ready state (substantivized adjective)",Ich bin fertig.I am ready.,Das Essen ist fertig.The food is ready.,Er ist heute fertiger als gestern.He is more exhausted today than yesterday.,Nach dem Lauf bin ich am fertigsten.After the run I am the most exhausted.,Das Fertige gefällt mir.I like the finished thing.,German Word (A1)
B2,Entscheidend,entscheidend,"entscheidend (Adjektiv): decisive, crucial, key, critical  entscheidend (Adverb): decisively, crucially, significantly  das entscheidend (Noun): the decisive‌ (factor/point)","entscheidend (Adjektiv): decisive, crucial, key, critical  entscheidend (Adverb): decisively, crucially, significantly  das Entscheidend (Noun): the decisive (factor/point)",Das war eine entscheidende Frage.That was a decisive question.,Ihre Idee war noch entscheidender für den Erfolg.Her idea was even more crucial for the success.,Dieses Detail ist am entscheidendsten.This detail is the most decisive.,Zeit spielt hier entscheidend mit.Time is crucial here.,"Das Entscheidende ist, dass wir beginnen.The decisive thing is that we start.",German Word (B2)
A2,Drinnen,drinnen,"drinnen (Adverb): inside, indoors, within‌ (inside a place)  das drinnen (Noun): the inside‌ (as a nominalized adverb)","drinnen (Adverb): inside, indoors, within (inside a place)  das Drinnen (Noun): the inside (as a nominalized adverb)",Wir bleiben heute drinnen.We are staying inside today.,"Draußen ist es kalt, drinnen ist es warm.It’s cold outside; inside it’s warm.",Kinder sind heute mehr drinnen als draußen.Children are indoors more than outdoors today.,Im Winter sind wir am meisten drinnen.In winter we are inside the most.,Das Drinnen gefällt mir im Herbst.I like the ‘inside’ in autumn.,German Word (A2)
A2,Dringend,dringend,"dringend (Adjektiv): urgent, pressing, immediate  dringend (Adverb): urgently, pressingly, badly‌ (urgently)  das dringend (Noun): the urgent‌ (quality/state)","dringend (Adjektiv): urgent, pressing, immediate  dringend (Adverb): urgently, pressingly, badly (urgently)  das Dringend (Noun): the urgent (quality/state)",Ich habe eine dringende Frage.I have an urgent question.,Ich muss dringend zum Arzt.I urgently need to see a doctor.,Das ist heute dringender als gestern.This is more urgent today than yesterday.,Das ist am dringendsten.This is the most urgent.,Das Dringende zuerst.The urgent things first.,German Word (A2)
A1,Draußen,draußen,"outside, outdoors, out","outside, outdoors, out",Wir warten draußen.We are waiting outside.,Es ist kalt draußen.It is cold outside.,Die Kinder spielen draußen.The children are playing outside.,,,German Adverb (A1)
B2,Bedeutend,bedeutend,"bedeutend (Adjektiv): significant, considerable, important  bedeutend (Adverb): significantly, considerably, by far  das bedeutend (Noun): significance, importance","bedeutend (Adjektiv): significant, considerable, important  bedeutend (Adverb): significantly, considerably, by far  das Bedeutend (Noun): significance, importance",Das ist ein bedeutend wichtiges Projekt.This is a significant and important project.,Die Ergebnisse sind bedeutend besser als letztes Jahr.The results are significantly better than last year.,Dieses Museum ist bedeutender als das andere.This museum is more significant than the other.,Er gilt als der bedeutendste Dichter seiner Zeit.He is considered the most significant poet of his time.,"Das Bedeutende ist, dass alle mitmachen.The important thing is that everyone takes part.",German Word (B2)
A2,Bald,bald,"soon, shortly, before long","soon, shortly, before long",Ich komme bald.I will come soon.,Kommst du eher oder später?Will you come earlier or later?3. Heute ist es am ehesten möglich.Today it is most likely possible.,,,,German Adverb (A2)
B1,Ausreichend,ausreichend,"ausreichend (Adjektiv): sufficient, adequate, satisfactory‌ (grade)  ausreichend (Adverb): sufficiently, enough, adequately  das ausreichend (Noun): the sufficient‌ (quality as a concept)","ausreichend (Adjektiv): sufficient, adequate, satisfactory (grade)  ausreichend (Adverb): sufficiently, enough, adequately  das Ausreichend (Noun): the sufficient (quality as a concept)",Das Wasser ist ausreichend kalt.The water is sufficiently cold.,Wir haben ausreichend Zeit.We have enough time.,Dieses Ergebnis ist ausreichender als das alte.This result is more sufficient than the old one.,Das war am ausreichendsten für alle.That was the most sufficient for everyone.,Das Ausreichende ist hier schwer zu definieren.The sufficient is hard to define here.,German Word (B1)
B1,Aufregend,aufregend,"aufregend (Adjektiv): exciting, thrilling, exhilarating  aufregend (Adverb): excitingly, in an exciting way  das aufregend (Noun): the exciting‌ (thing/state)","aufregend (Adjektiv): exciting, thrilling, exhilarating  aufregend (Adverb): excitingly, in an exciting way  das Aufregend (Noun): the exciting (thing/state)",Der Film ist aufregend.The movie is exciting.,Das Buch ist aufregender als der Film.The book is more exciting than the movie.,Es war am aufregendsten im Finale.It was the most exciting in the final.,Die Musik klingt aufregend.The music sounds exciting.,Das Aufregende war die Überraschung am Ende.The exciting part was the surprise at the end.,German Word (B1)
B1,Anwesend,anwesend,"anwesend (Adjektiv): present‌ (attending), in attendance, on hand‌ (present)  das anwesend (Noun): the present‌ (person), those present, attendees","anwesend (Adjektiv): present (attending), in attendance, on hand (present)  das Anwesend (Noun): the present (person), those present, attendees",Alle sind anwesend.Everyone is present.,Heute sind mehr Schüler anwesender als gestern.Today more students are more present than yesterday.,Er war am anwesendsten und hat gut aufgepasst.He was the most present and paid close attention.,Die Anwesenden hören zu.Those present are listening.,,German Word (B1)
B1,Anstrengend,anstrengend,"anstrengend (Adjektiv): exhausting, strenuous, tiring, demanding  das anstrengend (Noun): the exhausting‌ (quality), the tiring thing","anstrengend (Adjektiv): exhausting, strenuous, tiring, demanding  das Anstrengend (Noun): the exhausting (quality), the tiring thing",Die Arbeit ist anstrengend.The work is exhausting.,Heute war es anstrengender als gestern.Today was more exhausting than yesterday.,Das war am anstrengendsten nach dem langen Lauf.That was the most exhausting after the long run.,Das Anstrengende an dem Projekt ist der Zeitdruck.The exhausting part of this project is the time pressure.,,German Word (B1)
B1,Abwesend,abwesend,"abwesend (Adjektiv): absent, not present, absent-minded‌ (look/air)  abwesend (Adverb): in absence, absently, while absent  das abwesend (Noun): the state of being absent‌ (substantivized adjective)","abwesend (Adjektiv): absent, not present, absent-minded (look/air)  abwesend (Adverb): in absence, absently, while absent  das Abwesend (Noun): the state of being absent (substantivized adjective)",Er ist heute abwesend.He is absent today.,Sie wirkt abwesend und sagt wenig.She seems absent-minded and says little.,Heute sind weniger Schüler abwesend als gestern.Fewer students are absent today than yesterday.,Er war am abwesendsten während der langen Sitzung.He was the most absent-minded during the long meeting.,"Das Abwesende fällt erst auf, wenn es fehlt.The absent thing is only noticed when it is missing.",German Word (B1)
B1,Absolut,absolut,"absolut (Adverb): absolutely, completely, totally, utterly  absolut (Adjektiv): absolute, unconditional, complete  das absolut (Noun): the absolute‌ (as a quality/degree)","absolut (Adverb): absolutely, completely, totally, utterly  absolut (Adjektiv): absolute, unconditional, complete  das Absolut (Noun): the absolute (as a quality/degree)",Das ist absolut richtig.That is absolutely correct.,Sie ist absolut sicher.She is absolutely sure.,Ist das Ergebnis absoluter?Is the result more absolute?4. Das war am absolutesten unfair.That was the most absolutely unfair.,Das Absolute ist hier schwer zu definieren.The absolute is hard to define here.,,German Word (B1)
B1,Entspannend,entspannend,"entspannend (Adjektiv): relaxing, soothing, unwinding  entspannend (Adverb): relaxingly, in a relaxing way  das entspannend (Noun): the relaxing‌ (quality), the relaxing ones‌ (things/factors)","entspannend (Adjektiv): relaxing, soothing, unwinding  entspannend (Adverb): relaxingly, in a relaxing way  das Entspannend (Noun): the relaxing (quality), the relaxing ones (things/factors)📊 Degrees of ComparisonPositive: entspannendComparative: entspannenderSuperlative: am entspannendsten",Die Musik ist entspannend.The music is relaxing.,Dieses Bad wirkt entspannender als eine Dusche.This bath feels more relaxing than a shower.,Am entspannendsten finde ich einen Spaziergang im Park.I find a walk in the park the most relaxing.,Die Kerzen duften entspannend.The candles smell relaxing.,Das Entspannende an dem Film ist die ruhige Musik.The relaxing thing about the movie is the calm music.,German Word (B1)
A2,Leer,leer,"leer (Adjektiv): empty, vacant, blank, void  leer (Adverb): emptily, empty  das leer (Noun): the empty‌ (quality/state), emptiness‌ (as 'the empty')","leer (Adjektiv): empty, vacant, blank, void  leer (Adverb): emptily, empty  das Leer (Noun): the empty (quality/state), emptiness (as 'the empty')📊 Degrees of ComparisonPositive: leerComparative: leererSuperlative: am leersten",Die Flasche ist leer.The bottle is empty.,Heute ist der Bus leerer als gestern.Today the bus is emptier than yesterday.,Abends ist der Platz am leersten.In the evening the square is the emptiest.,Der Raum wirkt leer.The room looks empty.,Das Leere stört mich.The empty (state) bothers me.,German Word (A2)
B1,Blitzen,blitzen,"blitzen (Verb): to flash‌ (lightning), to gleam, to flash‌ (camera/speed camera), to catch with a speed camera  das blitzen (Noun): flashing, flash‌ (of light)","blitzen (Verb): to flash (lightning), to gleam, to flash (camera/speed camera), to catch with a speed camera  das Blitzen (Noun): flashing, flash (of light)🔄 Verb Conjugationsregelmäßig Partizip II: geblitztPresent (Präsens):ich: blitzedu: blitzter/sie/es: blitztwir: blitzenihr: blitztsie: blitzenPast (Präteritum):ich: blitztedu: blitztester/sie/es: blitztewir: blitztenihr: blitztetsie: blitzten",Es blitzt am Himmel.Lightning is flashing in the sky.,Die Kamera blitzt.The camera flashes.,Die Polizei hat mich gestern geblitzt.The police caught my speed with a speed camera yesterday.,Seine Augen blitzen vor Freude.His eyes flash with joy.,Das Blitzen war laut und hell.The flashing was loud and bright.,German Word (B1)
A2,das Mitglied,Mitglied,"member‌ (of an organization), participant, member","member (of an organization), participant, member🔢 Noun FormsSingular (Einzahl): das MitgliedPlural (Mehrzahl): Mitglieder",Ich bin Mitglied im Sportverein.I am a member of the sports club.,Das Mitglied bezahlt den Beitrag jeden Monat.The member pays the fee every month.,Wie viele Mitglieder hat der Verein?How many members does the club have?4. Neue Mitglieder sind willkommen.New members are welcome.,,,German Noun (A2)
A2,Entweder,entweder,entweder (Konjunktion): either‌ (in 'either … or …')  entweder (Adverb): either‌ (first element in a pair),entweder (Konjunktion): either (in 'either … or …')  entweder (Adverb): either (first element in a pair),"Entweder kommst du heute, oder du kommst morgen.Either you come today, or you come tomorrow.",Wir nehmen entweder den Bus oder die U-Bahn.We will take either the bus or the subway.,"Entweder du rufst an, oder ich schreibe.Either you call, or I write.","Entweder ist er zu Hause, oder er ist im Büro.Either he is at home, or he is at the office.",,German Word (A2)
A1,Die,die,"die (Artikel): definite article‌ (feminine singular, plural)  die die (Noun): the word 'die' (as a term)  die (Pronomen): who/that/which‌ (plural), she/the one‌ (fem.)","die (Artikel): definite article (feminine singular, plural)  die Die (Noun): the word 'die' (as a term)  die (Pronomen): who/that/which (plural), she/the one (fem.)",Die Frau ist nett.The woman is nice.,Ich kaufe die Bücher.I am buying the books.,"Die, die dort stehen, warten auf den Bus.Those who are standing there are waiting for the bus.","Er sagte: ‚die‘ ist der Artikel im Plural.'die' is the article in the plural, he said.",,German Word (A1)
A2,Denn,denn,"denn (Konjunktion): for, because, since‌ (causal)  denn (Partikel): then‌ (modal in questions), actually, just‌ (softening)","denn (Konjunktion): for, because, since (causal)  denn (Partikel): then (modal in questions), actually, just (softening)","Ich gehe jetzt, denn es ist spät.I’m leaving now, for it is late.","Warum fragst du denn?Why are you asking then?3. Kommst du denn heute?Are you coming today then?4. Er blieb zu Hause, denn er war krank.He stayed at home, because he was sick.",,,,German Word (A2)
A2,Als,als,"als (Konjunktion): when‌ (past single event), than‌ (comparative), as‌ (in the role of)  als (Adverb): only‌ (in 'nothing/none other than'), but‌ (no more than)  als (Partikel): (modal particle; emphasis)","als (Konjunktion): when (past single event), than (comparative), as (in the role of)  als (Adverb): only (in 'nothing/none other than'), but (no more than)  als (Partikel): (modal particle; emphasis)","Als ich klein war, hatte ich einen Hund.When I was little, I had a dog.",Sie ist größer als ihr Bruder.She is taller than her brother.,Er arbeitet als Lehrer.He works as a teacher.,Das ist nichts anderes als ein Test.This is nothing other than a test.,"Komm als du kannst, aber früh.Do come, will you, as soon as you can, but early.",German Word (A2)
A1,An,an,"an (Präposition): at, on‌ (vertical surface), to‌ (direction), about‌ (topic)  an (Adverb): on‌ (switched on), at it‌ (colloq., in 'dran/an')  an (Kontraktion): to, at, on  an (Partikel): on‌ (switched on), in operation, starting‌ (aspect)","an (Präposition): at, on (vertical surface), to (direction), about (topic)  an (Adverb): on (switched on), at it (colloq., in 'dran/an')  an (Kontraktion): to, at, on  an (Partikel): on (switched on), in operation, starting (aspect)",Das Bild hängt an der Wand.The picture hangs on the wall.,Er stellt die Tasse an den Tisch.He puts the cup to the table.,Wir denken an dich.We think about you.,Das Licht ist an.The light is on.,Er ist schon an und wartet.It is already on and waiting.,German Word (A1)
A2,Außer,außer,"außer (Präposition): except, apart from, besides‌ (excluding)  außer (Adverb): apart‌ (excluding), outside‌ (rare, archaic)","außer (Präposition): except, apart from, besides (excluding)  außer (Adverb): apart (excluding), outside (rare, archaic)","Alle kommen, außer mir.Everyone is coming, except me.","Wir fahren jeden Tag, außer am Sonntag.We travel every day except on Sunday.","Ich gehe nicht, außer du kommst mit.I won’t go unless you come with me.",Alle außer Anna sind schon da.All except Anna are already here.,,German Word (A2)
A1,Ein,ein,"ein (Artikel): a, an, one‌ (as article sense)  ein (Numerale): one","ein (Artikel): a, an, one (as article sense)  ein (Numerale): one",Ich habe ein Buch.I have a book.,Er kauft ein Apfel.He buys an apple.,Wir sind ein Team.We are one team.,Ich nehme ein Stück.I’ll take one piece.,,German Word (A1)
